LOAN_ID,CIF_NO,PRODUCTFLAG,BRANCH_ID,EMPID,STATUS,DISBURSAL_DATE,EMI_END_DATE,AMOUNT_FIN,RATE_OF_INTEREST,DPD,EMI_OVERDUE,PRINCIPAL_OUTSTANDING
900075,700055,LAP,1,2049,CLOSED,2024-01-21,2026-10-21,2418200.0,11.8,0,0,0.0
900076,700056,AL,18,2040,CLOSED,2022-05-14,2024-10-14,376100.0,9.68,0,0,0.0
900077,700056,GL,7,2087,CLOSED,2024-01-31,2024-09-30,726600.0,7.47,0,0,0.0
900078,700057,TWL,14,2119,ACTIVE,2025-05-11,2026-10-11,199600.0,12.54,38,1,12742.87
900079,700058,GL,6,2092,ACTIVE,2025-02-14,2025-12-14,1023300.0,8.58,104,3,314680.76
900080,700058,BL,23,2023,CLOSED,2025-08-02,2030-03-02,1438200.0,16.84,0,0,0.0
900081,700058,BL,23,2069,ACTIVE,2024-12-03,2029-05-03,4757700.0,16.77,346,11,1293484.45
900082,700059,MFI,1,2032,CLOSED,2025-07-25,2026-05-25,64300.0,20.8,0,0,0.0
900083,700059,PL,4,2090,CLOSED,2020-11-15,2021-11-15,125200.0,15.59,0,0,0.0
900084,700060,LAP,5,2003,ACTIVE,2020-07-28,2022-10-28,7951900.0,11.15,48,1,331281.97
900085,700061,PL,12,2072,CLOSED,2024-03-11,2025-08-11,116500.0,16.7,0,0,0.0
900086,700062,BL,6,2053,CLOSED,2019-12-11,2023-11-11,2599700.0,18.74,0,0,0.0
900087,700063,CL,22,2093,CLOSED,2022-05-31,2023-03-31,256700.0,14.42,0,0,0.0
900088,700064,AL,20,2031,CLOSED,2024-01-17,2027-09-17,280100.0,10.86,0,0,0.0
900089,700065,HL,3,2110,CLOSED,2023-09-03,2030-07-03,1984200.0,8.75,0,0,0.0
900090,700066,LAP,3,2052,CLOSED,2023-05-20,2028-12-20,5381800.0,11.6,0,0,0.0
900091,700066,PL,18,2040,CLOSED,2019-09-10,2021-03-10,614900.0,17.04,0,0,0.0
900092,700067,AL,9,2001,ACTIVE,2024-12-05,2026-09-05,959400.0,12.31,39,1,50498.19
900093,700068,PL,1,2020,ACTIVE,2021-07-25,2022-09-25,536600.0,15.98,32,1,41710.85
900094,700069,GL,11,2039,ACTIVE,2025-09-06,2026-06-06,166000.0,7.86,51,1,18929.77
900095,700070,CL,11,2030,ACTIVE,2025-05-06,2025-12-06,27700.0,15.28,126,4,16128.31
900096,700071,BL,11,2064,CLOSED,2022-09-08,2024-09-08,1680900.0,18.08,0,0,0.0
900097,700072,BL,2,2118,CLOSED,2022-09-03,2026-02-03,2480800.0,18.48,0,0,0.0
900098,700073,TWL,8,2038,CLOSED,2024-04-04,2025-06-04,239400.0,14.41,0,0,0.0
900099,700074,TWL,11,2064,ACTIVE,2022-08-28,2024-01-28,250900.0,13.51,45,1,16117.42
900100,700074,BL,7,2018,ACTIVE,2024-01-16,2028-11-16,619200.0,17.19,62,2,30914.44
900101,700075,MFI,16,2027,CLOSED,2020-03-23,2020-12-23,79000.0,22.56,0,0,0.0
900102,700076,HL,14,2082,CLOSED,2023-09-02,2029-11-02,1672100.0,10.15,0,0,0.0
900103,700077,GL,3,2117,ACTIVE,2019-07-09,2020-03-09,1740700.0,7.9,45,1,222617.31
900104,700077,CL,1,2032,CLOSED,2021-05-11,2022-03-11,360400.0,13.28,0,0,0.0
900105,700078,CL,9,2006,CLOSED,2021-05-24,2022-08-24,25600.0,15.61,0,0,0.0
900106,700078,HL,16,2027,ACTIVE,2020-11-08,2026-08-08,8503700.0,9.46,32,1,159004.57
900107,700078,PL,14,2050,ACTIVE,2020-04-05,2021-05-05,353900.0,16.55,31,1,29516.12
900108,700078,GL,9,2001,ACTIVE,2021-08-28,2022-05-28,20400.0,9.22,42,2,4655.54
900109,700079,CL,18,2120,ACTIVE,2018-03-03,2018-10-03,355500.0,15.0,220,7,355500.0
900110,700079,TWL,16,2037,CLOSED,2021-12-19,2023-05-19,31800.0,12.89,0,0,0.0
900111,700080,AL,21,2113,CLOSED,2020-08-12,2024-08-12,225800.0,9.69,0,0,0.0
900112,700081,PL,17,2028,ACTIVE,2021-07-22,2023-01-22,752600.0,18.68,244,8,360414.42
900113,700082,MFI,14,2100,CLOSED,2022-02-24,2023-01-24,5600.0,18.95,0,0,0.0
900114,700083,TWL,6,2042,CLOSED,2025-05-06,2026-11-06,225300.0,13.49,0,0,0.0
900115,700083,MFI,6,2044,ACTIVE,2025-11-04,2026-10-04,6000.0,21.14,54,1,594.32
900116,700084,CL,23,2069,CLOSED,2025-12-19,2027-03-19,223100.0,14.73,0,0,0.0
900117,700084,PL,23,2023,CLOSED,2021-07-02,2023-03-02,387300.0,15.55,0,0,0.0
900118,700085,CL,4,2025,CLOSED,2024-10-12,2025-12-12,269300.0,14.1,0,0,0.0
900119,700086,TWL,7,2087,CLOSED,2024-07-10,2026-04-10,53700.0,13.34,0,0,0.0
900120,700086,AL,16,2027,ACTIVE,2019-12-31,2023-06-30,2276600.0,11.36,44,1,65327.28
900121,700086,AL,16,2027,CLOSED,2019-01-08,2021-12-08,293500.0,10.91,0,0,0.0
900122,700087,BL,14,2082,CLOSED,2024-01-12,2025-06-12,680300.0,19.41,0,0,0.0
900123,700087,PL,11,2075,CLOSED,2025-09-07,2027-09-07,376600.0,19.62,0,0,0.0
900124,700088,EL,18,2040,CLOSED,2025-09-24,2028-06-24,78400.0,9.33,0,0,0.0
900125,700088,BL,7,2079,CLOSED,2025-04-09,2029-10-09,4582000.0,16.44,0,0,0.0
900126,700089,PL,8,2038,CLOSED,2024-12-08,2026-12-08,123600.0,14.22,0,0,0.0
900127,700089,PL,3,2083,CLOSED,2020-02-03,2021-02-03,479100.0,14.32,0,0,0.0
900128,700089,PL,8,2070,CLOSED,2021-05-25,2022-10-25,517300.0,13.92,0,0,0.0
900129,700090,PL,20,2065,CLOSED,2024-12-18,2026-01-18,1075100.0,15.0,0,0,0.0
900130,700090,LAP,5,2003,CLOSED,2025-05-03,2032-05-03,926700.0,11.12,0,0,0.0
900131,700090,CL,6,2042,ACTIVE,2025-04-28,2026-05-28,20200.0,14.6,69,2,3318.09
900132,700091,PL,20,2080,CLOSED,2022-06-21,2023-10-21,1314000.0,18.07,0,0,0.0
900133,700091,PL,8,2034,ACTIVE,2022-11-28,2024-02-28,421900.0,17.95,321,10,291568.4
900134,700092,GL,3,2021,CLOSED,2024-05-03,2025-01-03,813500.0,9.01,0,0,0.0
900135,700093,CL,11,2030,ACTIVE,2022-03-28,2022-09-28,105300.0,15.82,184,6,105300.0
900136,700093,GL,11,2048,CLOSED,2023-05-23,2024-01-23,133900.0,9.23,0,0,0.0
900137,700094,PL,20,2031,CLOSED,2019-02-20,2020-10-20,602600.0,16.33,0,0,0.0
900138,700094,GL,24,2047,CLOSED,2025-10-28,2026-10-28,288600.0,9.09,0,0,0.0
900139,700095,EL,1,2004,CLOSED,2025-05-09,2029-10-09,2817000.0,9.13,0,0,0.0
900140,700096,AL,9,2006,ACTIVE,2020-09-10,2022-05-10,766900.0,9.98,35,1,41436.64
900141,700097,BL,14,2009,CLOSED,2021-07-24,2026-07-24,1776000.0,16.37,0,0,0.0
900142,700097,GL,14,2119,CLOSED,2021-03-15,2022-02-15,473700.0,8.51,0,0,0.0
900143,700098,CL,10,2071,ACTIVE,2018-11-12,2019-05-12,231200.0,14.49,27,1,39698.77
900144,700099,GL,4,2085,CLOSED,2023-03-10,2023-09-10,888500.0,8.31,0,0,0.0
900145,700100,GL,6,2092,ACTIVE,2024-03-04,2025-02-04,716300.0,8.74,270,9,590280.33
900146,700101,PL,23,2023,CLOSED,2025-09-14,2027-01-14,1371900.0,16.42,0,0,0.0
900147,700102,CL,19,2081,CLOSED,2025-08-27,2026-12-27,174100.0,16.04,0,0,0.0
900148,700102,PL,19,2081,CLOSED,2025-04-20,2026-07-20,1479000.0,17.64,0,0,0.0
900149,700102,PL,20,2080,CLOSED,2025-05-21,2026-06-21,1283200.0,17.23,0,0,0.0
900150,700103,PL,20,2065,CLOSED,2021-01-16,2022-06-16,1024700.0,16.12,0,0,0.0
900151,700104,EL,19,2002,CLOSED,2020-05-15,2023-01-15,215800.0,8.42,0,0,0.0
900152,700104,BL,19,2002,ACTIVE,2024-05-10,2027-07-10,3930300.0,14.41,229,7,863978.66
900153,700105,CL,15,2015,ACTIVE,2024-07-23,2025-09-23,316000.0,13.97,45,1,24308.6
900154,700106,AL,13,2094,ACTIVE,2018-10-05,2022-01-05,746300.0,11.28,47,1,22732.46
900155,700107,CL,6,2042,ACTIVE,2024-02-24,2024-11-24,38500.0,15.63,190,6,26161.54
900156,700108,HL,19,2081,ACTIVE,2022-08-30,2026-11-30,7753700.0,9.87,53,1,185235.01
900157,700109,EL,20,2056,CLOSED,2019-12-12,2022-01-12,1668300.0,9.75,0,0,0.0
900158,700109,CL,18,2040,ACTIVE,2018-08-10,2019-07-10,260500.0,14.51,142,4,98734.76
900159,700110,AL,23,2023,CLOSED,2025-02-09,2028-09-09,2206600.0,10.88,0,0,0.0
900160,700111,BL,7,2112,CLOSED,2023-04-03,2027-07-03,1184600.0,18.64,0,0,0.0
900161,700112,PL,21,2088,CLOSED,2025-11-05,2026-11-05,1034100.0,15.28,0,0,0.0
900162,700113,EL,22,2019,CLOSED,2024-05-23,2029-04-23,598600.0,10.29,0,0,0.0
900163,700113,EL,22,2026,CLOSED,2019-05-25,2021-11-25,1338800.0,10.52,0,0,0.0
900164,700114,MFI,21,2066,CLOSED,2024-11-14,2025-07-14,51600.0,19.38,0,0,0.0
900165,700114,PL,22,2026,ACTIVE,2023-07-17,2024-11-17,439900.0,13.17,40,1,29801.46
900166,700115,PL,20,2080,ACTIVE,2025-06-12,2026-11-12,1275300.0,15.95,365,12,929444.97
900167,700115,PL,6,2042,ACTIVE,2024-10-09,2025-12-09,228800.0,15.44,25,1,17735.41
900168,700116,AL,2,2105,ACTIVE,2023-09-22,2027-02-22,243000.0,9.84,90,3,20668.78
900169,700117,CL,6,2092,ACTIVE,2019-01-25,2019-08-25,318600.0,15.37,46,1,47270.35
900170,700118,AL,23,2041,CLOSED,2022-08-31,2025-04-30,2361500.0,11.44,0,0,0.0
900171,700118,BL,9,2006,ACTIVE,2021-03-01,2024-01-01,231800.0,17.49,310,10,80362.27
900172,700119,EL,18,2103,ACTIVE,2019-06-22,2024-03-22,1369200.0,9.88,54,1,29947.25
900173,700120,TWL,4,2025,CLOSED,2025-01-16,2026-08-16,188100.0,11.46,0,0,0.0
900174,700120,GL,5,2099,CLOSED,2025-09-25,2026-04-25,1179500.0,7.98,0,0,0.0
900175,700121,TWL,4,2090,ACTIVE,2021-04-16,2022-08-16,246700.0,12.47,44,1,16642.91
900176,700121,GL,4,2085,CLOSED,2024-08-09,2025-02-09,73200.0,8.23,0,0,0.0
900177,700122,BL,9,2006,CLOSED,2021-12-28,2026-09-28,2447600.0,18.71,0,0,0.0
900178,700123,PL,14,2050,ACTIVE,2022-08-23,2023-08-23,142600.0,18.85,60,2,25656.54
900179,700123,MFI,14,2043,ACTIVE,2021-12-27,2022-10-27,31800.0,22.78,33,1,3455.78
900180,700123,EL,14,2100,ACTIVE,2020-04-10,2023-06-10,589900.0,11.21,254,8,142069.59
900181,700124,LAP,8,2038,CLOSED,2023-07-12,2030-05-12,1006600.0,10.96,0,0,0.0
900182,700124,PL,12,2017,ACTIVE,2021-12-19,2023-04-19,867800.0,15.32,279,9,509701.22
900183,700125,GL,13,2007,CLOSED,2020-07-12,2021-04-12,242300.0,9.11,0,0,0.0
900184,700125,PL,13,2054,CLOSED,2019-05-27,2020-06-27,1103100.0,15.8,0,0,0.0
900185,700125,PL,23,2069,CLOSED,2023-01-13,2024-09-13,383900.0,15.78,0,0,0.0
900186,700126,GL,15,2073,ACTIVE,2020-07-04,2021-02-04,97800.0,9.47,210,7,97800.0
900187,700126,CL,24,2089,CLOSED,2025-01-29,2025-07-29,198400.0,15.34,0,0,0.0
900188,700127,HL,8,2038,ACTIVE,2024-04-17,2028-07-17,1166200.0,10.08,48,1,27972.85
900189,700127,PL,8,2038,CLOSED,2023-05-06,2024-06-06,345600.0,17.54,0,0,0.0
900190,700127,GL,8,2076,CLOSED,2024-09-12,2025-03-12,920600.0,9.52,0,0,0.0
900191,700128,PL,23,2023,CLOSED,2019-10-16,2021-05-16,596100.0,18.88,0,0,0.0
900192,700128,MFI,23,2069,CLOSED,2021-07-22,2022-07-22,64200.0,23.0,0,0,0.0
900193,700129,MFI,3,2083,ACTIVE,2021-01-26,2021-10-26,32700.0,18.63,39,2,7663.4
900194,700129,BL,19,2116,CLOSED,2025-08-03,2028-01-03,915600.0,14.88,0,0,0.0
900195,700130,AL,25,2068,CLOSED,2023-03-06,2027-02-06,1345400.0,10.97,0,0,0.0
900196,700130,TWL,21,2008,ACTIVE,2023-02-17,2024-05-17,201700.0,13.79,40,1,14548.62
900197,700131,TWL,1,2049,CLOSED,2018-09-15,2020-03-15,231700.0,14.25,0,0,0.0
900198,700132,PL,8,2070,ACTIVE,2022-12-29,2024-01-29,1141100.0,14.75,344,11,977122.72
900199,700132,BL,8,2038,CLOSED,2025-02-03,2029-05-03,2291900.0,16.35,0,0,0.0
900200,700133,GL,16,2024,CLOSED,2025-06-18,2025-12-18,1553600.0,9.08,0,0,0.0
900201,700133,GL,16,2024,ACTIVE,2024-05-20,2025-01-20,530700.0,9.08,1,1,68100.86
900202,700134,CL,3,2097,CLOSED,2023-07-31,2024-02-29,365500.0,15.4,0,0,0.0
900203,700134,GL,3,2084,CLOSED,2025-09-06,2026-07-06,188300.0,9.27,0,0,0.0
900204,700135,MFI,12,2033,CLOSED,2023-06-23,2024-02-23,65900.0,20.27,0,0,0.0
900205,700136,LAP,21,2008,CLOSED,2018-06-02,2023-07-02,562100.0,11.02,0,0,0.0
900206,700136,AL,22,2026,CLOSED,2025-07-15,2027-10-15,445000.0,10.29,0,0,0.0
900207,700136,PL,21,2113,ACTIVE,2019-12-10,2020-12-10,1143700.0,15.19,19,2,202803.2
900208,700137,GL,23,2023,CLOSED,2024-05-22,2025-03-22,376700.0,8.56,0,0,0.0
900209,700138,EL,13,2107,CLOSED,2019-04-26,2022-06-26,1649800.0,9.0,0,0,0.0
900210,700139,BL,14,2009,CLOSED,2024-03-13,2028-02-13,132400.0,16.52,0,0,0.0
900211,700139,AL,14,2100,CLOSED,2021-04-15,2023-11-15,2520900.0,10.97,0,0,0.0
900212,700140,BL,22,2022,CLOSED,2018-12-16,2022-06-16,468700.0,18.03,0,0,0.0
900213,700141,PL,18,2103,CLOSED,2019-12-06,2021-10-06,82700.0,16.76,0,0,0.0
900214,700141,AL,15,2073,CLOSED,2023-11-26,2026-05-26,1146000.0,11.22,0,0,0.0
900215,700142,AL,22,2093,CLOSED,2021-06-16,2025-05-16,1999500.0,11.16,0,0,0.0
900216,700143,EL,10,2071,ACTIVE,2023-08-27,2028-07-27,285200.0,10.03,33,1,6092.21
900217,700144,CL,6,2092,ACTIVE,2024-11-27,2025-06-27,30200.0,16.33,11,2,8922.07
900218,700145,AL,12,2086,CLOSED,2022-03-10,2026-02-10,730500.0,12.58,0,0,0.0
900219,700146,TWL,6,2044,ACTIVE,2023-09-26,2025-08-26,120100.0,12.76,40,1,5851.63
900220,700146,PL,5,2035,CLOSED,2019-11-28,2021-01-28,158200.0,15.94,0,0,0.0
900221,700146,PL,6,2044,CLOSED,2023-01-11,2024-08-11,50700.0,16.1,0,0,0.0
900222,700147,BL,7,2112,CLOSED,2023-08-25,2026-07-25,1535600.0,18.98,0,0,0.0
900223,700147,PL,7,2018,CLOSED,2024-07-12,2026-04-12,722800.0,18.63,0,0,0.0
900224,700148,TWL,13,2054,CLOSED,2022-04-02,2023-08-02,123700.0,15.51,0,0,0.0
900225,700149,AL,6,2044,CLOSED,2025-02-15,2027-07-15,1023100.0,10.71,0,0,0.0
900226,700150,AL,14,2082,CLOSED,2022-11-15,2026-09-15,1825200.0,11.4,0,0,0.0
900227,700151,EL,15,2074,CLOSED,2023-05-19,2026-09-19,1447400.0,9.6,0,0,0.0
900228,700152,CL,16,2027,CLOSED,2025-09-06,2026-12-06,36800.0,16.0,0,0,0.0
900229,700152,PL,1,2020,CLOSED,2025-12-13,2027-01-13,52800.0,16.82,0,0,0.0
900230,700153,BL,7,2087,CLOSED,2019-11-09,2021-05-09,3897600.0,18.51,0,0,0.0
900231,700153,GL,7,2112,ACTIVE,2020-09-10,2021-06-10,1490800.0,10.07,50,1,171235.09
900232,700154,GL,16,2027,CLOSED,2022-08-25,2023-04-25,442500.0,9.94,0,0,0.0
900233,700155,GL,15,2015,ACTIVE,2020-08-09,2021-05-09,1309800.0,9.99,23,2,299570.18
900234,700156,PL,22,2019,CLOSED,2022-07-30,2023-12-30,571100.0,18.67,0,0,0.0
900235,700156,GL,21,2008,CLOSED,2022-01-07,2022-10-07,621200.0,9.91,0,0,0.0
900236,700157,PL,19,2111,CLOSED,2020-12-14,2021-12-14,629400.0,16.86,0,0,0.0
900237,700157,GL,8,2076,CLOSED,2024-12-22,2025-09-22,1124400.0,9.62,0,0,0.0
900238,700158,MFI,21,2036,ACTIVE,2025-12-07,2026-07-07,5200.0,21.6,40,1,783.2
900239,700158,AL,24,2089,ACTIVE,2023-07-20,2025-11-20,538800.0,11.4,51,1,21799.12
900240,700159,GL,13,2094,ACTIVE,2021-03-20,2021-09-20,697200.0,9.51,33,1,118505.15
900241,700159,GL,1,2049,ACTIVE,2022-04-11,2023-02-11,1534800.0,9.78,15,2,317006.35
900242,700160,GL,1,2020,ACTIVE,2024-02-12,2025-02-12,122200.0,9.28,47,1,10620.31
900243,700161,GL,17,2060,ACTIVE,2022-10-08,2023-08-08,572600.0,10.24,281,9,517504.54
900244,700161,EL,18,2040,CLOSED,2021-05-05,2025-12-05,1068300.0,10.99,0,0,0.0
900245,700161,EL,16,2024,ACTIVE,2022-06-08,2025-03-08,1330200.0,11.38,45,1,46691.4
900246,700162,PL,16,2027,CLOSED,2018-02-21,2019-10-21,1423600.0,15.88,0,0,0.0
900247,700163,PL,25,2013,ACTIVE,2018-08-17,2020-08-17,514900.0,19.66,32,1,25699.76
900248,700164,CL,8,2034,CLOSED,2023-11-22,2024-05-22,360900.0,15.38,0,0,0.0
900249,700165,MFI,10,2101,CLOSED,2023-03-01,2023-11-01,41100.0,20.24,0,0,0.0
900250,700166,CL,25,2013,CLOSED,2022-01-16,2023-03-16,118500.0,13.51,0,0,0.0
900251,700166,AL,14,2100,ACTIVE,2025-01-04,2026-05-04,1658500.0,9.91,41,1,110172.21
900252,700167,CL,11,2064,CLOSED,2018-03-04,2018-12-04,45000.0,13.15,0,0,0.0
900253,700167,GL,24,2089,ACTIVE,2018-05-03,2019-02-03,44200.0,7.61,65,2,10040.68
900254,700168,CL,14,2043,ACTIVE,2024-05-03,2025-06-03,191500.0,16.91,285,9,136241.9
900255,700168,TWL,23,2005,CLOSED,2024-07-13,2026-03-13,105900.0,14.91,0,0,0.0
900256,700169,BL,2,2059,CLOSED,2025-06-19,2026-10-19,3548000.0,15.97,0,0,0.0
900257,700170,LAP,6,2042,ACTIVE,2024-12-12,2028-10-12,13690300.0,10.26,79,2,713283.35
900258,700171,MFI,16,2078,CLOSED,2021-03-30,2021-10-30,38200.0,20.02,0,0,0.0
900259,700171,GL,14,2082,CLOSED,2025-05-15,2025-11-15,1952500.0,8.2,0,0,0.0
900260,700172,LAP,19,2116,CLOSED,2024-10-05,2030-08-05,761300.0,12.23,0,0,0.0
900261,700172,BL,19,2116,CLOSED,2025-03-20,2028-02-20,2842500.0,17.98,0,0,0.0
900262,700173,AL,3,2110,CLOSED,2020-09-18,2024-08-18,500600.0,10.64,0,0,0.0
900263,700173,PL,4,2085,ACTIVE,2025-03-06,2026-07-06,170900.0,15.07,174,5,57115.18
