NPA_ID,LOAN_ID,AS_OF_DATE,NPA_CATEGORY,DPD_AS_OF_DATE,PROVISION_AMT
104,901216,2026-07-25,REGULAR,13,353.36703
105,905332,2026-07-25,REGULAR,17,20.4614
106,902248,2026-07-25,REGULAR,39,646.12082
107,904472,2026-07-25,REGULAR,23,13.33955
108,906153,2026-07-25,REGULAR,25,76.19548
109,901334,2026-07-25,REGULAR,48,16.7158
110,903515,2026-07-25,NPA,157,99999.99999
111,900674,2026-07-25,REGULAR,34,413.45155
112,905272,2026-07-25,NPA,103,38131.16912
113,903856,2026-07-25,REGULAR,33,6.9493
114,904474,2026-07-25,REGULAR,38,164.57978
115,907467,2026-07-25,REGULAR,4,192.17522
116,903535,2026-07-25,NPA,121,7791.86284
117,903281,2026-07-25,NPA,102,4176.95178
118,903561,2026-07-25,REGULAR,30,171.0696
119,907890,2026-07-25,NPA,214,99999.99999
120,900775,2026-07-25,NPA,307,10640.4216
121,901751,2026-07-25,NPA,108,54114.93858
122,900738,2026-07-25,REGULAR,34,461.07965
123,904866,2026-07-25,REGULAR,21,965.03995
124,900422,2026-07-25,REGULAR,40,193.12203
125,907746,2026-07-25,REGULAR,45,64.19455
126,906283,2026-07-25,REGULAR,47,79.66075
127,907338,2026-07-25,REGULAR,36,376.16902
128,907073,2026-07-25,REGULAR,23,591.43872
129,902536,2026-07-25,NPA,281,99999.99999
130,903229,2026-07-25,NPA,171,70885.7136
131,904533,2026-07-25,NPA,224,99999.99999
132,906682,2026-07-25,REGULAR,46,5.05183
133,904917,2026-07-25,NPA,110,65187.1228
134,900323,2026-07-25,REGULAR,48,4.59215
135,900662,2026-07-25,REGULAR,1,115.20465
136,904704,2026-07-25,REGULAR,28,410.52443
137,905541,2026-07-25,NPA,255,28433.7072
138,900379,2026-07-25,REGULAR,33,146.86777
139,901568,2026-07-25,NPA,228,99999.99999
140,907814,2026-07-25,REGULAR,55,365.26683
141,901810,2026-07-25,REGULAR,8,76.2015
142,902932,2026-07-25,REGULAR,33,6.50888
143,901370,2026-07-25,REGULAR,16,346.69643
144,903210,2026-07-25,NPA,152,4765.23812
145,902825,2026-07-25,REGULAR,80,54.66068
146,907707,2026-07-25,NPA,257,7309.5858
147,905590,2026-07-25,REGULAR,41,131.29073
148,900078,2026-07-25,REGULAR,38,31.85718
149,902082,2026-07-25,NPA,291,29523.07968
150,900171,2026-07-25,NPA,310,47413.7393
151,900375,2026-07-25,NPA,343,95432.19696
152,904034,2026-07-25,REGULAR,42,229.63592
153,900355,2026-07-25,REGULAR,17,164.81607
154,907632,2026-07-25,REGULAR,22,32.54313
155,907242,2026-07-25,REGULAR,34,38.1964
156,900513,2026-07-25,REGULAR,18,125.95703
157,905519,2026-07-25,REGULAR,8,34.7617
158,907357,2026-07-25,REGULAR,83,146.92235
159,900384,2026-07-25,REGULAR,40,15.26445
160,907630,2026-07-25,REGULAR,11,223.00827
161,901180,2026-07-25,NPA,194,99999.99999
162,902955,2026-07-25,REGULAR,27,31.36065
163,902522,2026-07-25,REGULAR,33,27.1727
164,902171,2026-07-25,REGULAR,32,96.4218
165,903290,2026-07-25,REGULAR,15,72.0704
166,905779,2026-07-25,NPA,365,99999.99999
167,903220,2026-07-25,REGULAR,35,28.69083
168,902854,2026-07-25,WRITE_OFF,365,21674.42
169,902043,2026-07-25,REGULAR,10,189.94873
170,900465,2026-07-25,NPA,139,78840.4028
171,905653,2026-07-25,REGULAR,50,195.56265
172,903177,2026-07-25,NPA,263,99999.99999
173,901151,2026-07-25,NPA,253,4880.47084
174,907952,2026-07-25,REGULAR,31,150.46255
175,904517,2026-07-25,NPA,309,99999.99999
176,900787,2026-07-25,REGULAR,35,53.5824
177,903171,2026-07-25,REGULAR,18,24.55845
178,905226,2026-07-25,REGULAR,49,186.60158
179,905326,2026-07-25,REGULAR,6,42.38672
180,900308,2026-07-25,REGULAR,78,1257.3799
181,900391,2026-07-25,NPA,122,40203.15922
182,904147,2026-07-25,REGULAR,43,833.4255
183,903437,2026-07-25,REGULAR,44,3.70027
184,901061,2026-07-25,REGULAR,38,19.01838
185,907328,2026-07-25,NPA,180,6924.8124
186,902031,2026-07-25,REGULAR,42,78.17725
187,905270,2026-07-25,REGULAR,14,124.44532
188,904937,2026-07-25,REGULAR,23,375.44395
189,902213,2026-07-25,REGULAR,34,74.1923
190,905437,2026-07-25,REGULAR,46,26.3201
191,906246,2026-07-25,NPA,142,60346.56206
192,905244,2026-07-25,NPA,325,18222.8788
193,902295,2026-07-25,REGULAR,41,12.4677
194,905568,2026-07-25,WRITE_OFF,365,99999.99999
195,905657,2026-07-25,REGULAR,23,289.32878
196,904382,2026-07-25,REGULAR,14,55.85752
197,906009,2026-07-25,REGULAR,30,17.50372
198,904875,2026-07-25,NPA,250,99999.99999
199,904674,2026-07-25,REGULAR,45,74.61415
200,901298,2026-07-25,REGULAR,30,274.36105
201,901565,2026-07-25,REGULAR,77,1158.6781
202,904880,2026-07-25,REGULAR,55,41.95273
203,907149,2026-07-25,REGULAR,32,337.46013
204,907369,2026-07-25,NPA,222,16104.6
205,904627,2026-07-25,REGULAR,54,9.90475
206,907027,2026-07-25,REGULAR,45,161.40897
207,907079,2026-07-25,NPA,213,17796.98844
208,904026,2026-07-25,NPA,162,10134.85032
209,900140,2026-07-25,REGULAR,35,103.5916
210,905497,2026-07-25,NPA,270,99999.99999
211,904369,2026-07-25,NPA,181,6833.56596
212,901329,2026-07-25,NPA,162,32820.10788
213,902615,2026-07-25,REGULAR,50,35.60975
214,906889,2026-07-25,REGULAR,77,208.03895
215,905184,2026-07-25,NPA,311,44424.31344
216,902215,2026-07-25,REGULAR,63,419.28663
217,902174,2026-07-25,REGULAR,10,104.3033
218,907728,2026-07-25,REGULAR,7,32.76893
219,901293,2026-07-25,REGULAR,10,655.68585
220,901940,2026-07-25,REGULAR,17,72.6274
221,901999,2026-07-25,NPA,253,7976.86036
222,901004,2026-07-25,REGULAR,37,165.57987
223,903690,2026-07-25,WRITE_OFF,365,99999.99999
224,907307,2026-07-25,NPA,353,99999.99999
225,906613,2026-07-25,REGULAR,45,20.84147
226,906560,2026-07-25,NPA,317,63081.10768
227,902254,2026-07-25,REGULAR,45,427.64058
228,904456,2026-07-25,REGULAR,40,73.41367
229,906946,2026-07-25,NPA,91,20795.05008
230,905310,2026-07-25,REGULAR,60,48.4556
231,901754,2026-07-25,REGULAR,37,73.53725
232,902826,2026-07-25,REGULAR,31,76.84955
233,906805,2026-07-25,REGULAR,38,98.97498
234,904835,2026-07-25,REGULAR,8,246.78815
235,904885,2026-07-25,REGULAR,29,47.83958
236,906335,2026-07-25,REGULAR,34,32.20307
237,903468,2026-07-25,REGULAR,40,22.75135
238,907350,2026-07-25,NPA,312,99999.99999
239,902436,2026-07-25,NPA,167,14249.68992
240,906738,2026-07-25,REGULAR,31,57.74338
241,902381,2026-07-25,REGULAR,52,22.3183
242,903350,2026-07-25,REGULAR,43,100.48125
243,905167,2026-07-25,REGULAR,11,46.37355
244,903918,2026-07-25,NPA,353,77998.75252
245,902824,2026-07-25,NPA,244,3938.8
246,903141,2026-07-25,NPA,253,99999.99999
247,900913,2026-07-25,REGULAR,31,150.79895
248,904326,2026-07-25,NPA,249,11091.6
249,907760,2026-07-25,REGULAR,2,59.14323
250,905998,2026-07-25,REGULAR,69,101.34045
251,902709,2026-07-25,NPA,152,32430.28928
252,906438,2026-07-25,NPA,355,99999.99999
253,906887,2026-07-25,NPA,189,2440.56924
254,905082,2026-07-25,NPA,334,21956.98692
255,907595,2026-07-25,NPA,166,3539.85978
256,903503,2026-07-25,REGULAR,34,73.45118
257,902257,2026-07-25,NPA,315,99999.99999
258,905003,2026-07-25,REGULAR,30,155.84418
259,901275,2026-07-25,NPA,91,9342.0416
260,905015,2026-07-25,REGULAR,27,134.15823
261,901590,2026-07-25,REGULAR,40,15.73757
262,902562,2026-07-25,NPA,113,4306.79228
263,901252,2026-07-25,REGULAR,30,64.75923
264,903757,2026-07-25,NPA,205,99999.99999
265,900057,2026-07-25,REGULAR,9,59.4032
266,902645,2026-07-25,NPA,233,31261.2
267,900492,2026-07-25,REGULAR,40,94.94405
268,905139,2026-07-25,REGULAR,33,202.74758
269,902000,2026-07-25,NPA,244,99999.99999
270,901028,2026-07-25,REGULAR,8,14.7859
271,903042,2026-07-25,NPA,138,53932.07568
272,900742,2026-07-25,REGULAR,13,77.43125
273,903523,2026-07-25,NPA,219,33578.4
274,905172,2026-07-25,REGULAR,9,21.01602
275,901442,2026-07-25,REGULAR,36,134.15273
276,906906,2026-07-25,NPA,314,65957.09172
277,906334,2026-07-25,REGULAR,37,818.40535
278,900830,2026-07-25,REGULAR,52,485.49325
279,907419,2026-07-25,REGULAR,21,18.24365
280,900240,2026-07-25,REGULAR,33,296.26288
281,901321,2026-07-25,REGULAR,71,103.1836
282,903697,2026-07-25,REGULAR,85,604.68562
283,901625,2026-07-25,NPA,114,519.33024
284,907112,2026-07-25,NPA,97,28955.90396
285,906601,2026-07-25,REGULAR,45,13.82388
286,901249,2026-07-25,NPA,278,4014.38992
287,904679,2026-07-25,NPA,133,67206.89056
288,903295,2026-07-25,NPA,260,99999.99999
289,902376,2026-07-25,REGULAR,27,788.47458
290,905548,2026-07-25,REGULAR,49,33.95045
291,901942,2026-07-25,REGULAR,37,6.14107
292,903510,2026-07-25,REGULAR,7,210.42665
293,906894,2026-07-25,REGULAR,55,16.96797
294,907545,2026-07-25,REGULAR,2,196.644
295,902832,2026-07-25,REGULAR,51,211.7428
296,903497,2026-07-25,REGULAR,32,28.80365
297,903796,2026-07-25,REGULAR,24,11.8604
298,907548,2026-07-25,REGULAR,20,7.1333
299,904390,2026-07-25,REGULAR,51,2.7763
300,904840,2026-07-25,NPA,226,34692.06718
301,905101,2026-07-25,REGULAR,52,7.29202
302,904192,2026-07-25,REGULAR,7,12.50213
303,901638,2026-07-25,REGULAR,60,16.36648
304,906440,2026-07-25,REGULAR,11,86.01915
305,901641,2026-07-25,REGULAR,31,105.76882
306,907393,2026-07-25,REGULAR,42,709.67072
307,907732,2026-07-25,NPA,256,25979.8
308,907391,2026-07-25,REGULAR,42,120.84857
309,900825,2026-07-25,REGULAR,71,316.11873
310,903375,2026-07-25,REGULAR,64,262.37835
311,906302,2026-07-25,REGULAR,31,27.29175
312,902087,2026-07-25,REGULAR,16,19.09525
313,903464,2026-07-25,REGULAR,41,311.90555
314,902719,2026-07-25,NPA,217,14886.34556
315,902390,2026-07-25,REGULAR,7,101.50605
316,904899,2026-07-25,REGULAR,3,38.69853
317,902778,2026-07-25,NPA,347,99999.99999
318,901479,2026-07-25,REGULAR,21,153.60038
319,900618,2026-07-25,NPA,227,90406.45448
320,902303,2026-07-25,WRITE_OFF,365,8900.0
321,900468,2026-07-25,REGULAR,47,155.56915
322,902995,2026-07-25,REGULAR,25,15.10428
323,901882,2026-07-25,NPA,248,99999.99999
324,907283,2026-07-25,REGULAR,2,1029.80495
325,904317,2026-07-25,WRITE_OFF,365,99999.99999
326,907412,2026-07-25,REGULAR,32,39.2327
327,903948,2026-07-25,REGULAR,1,25.56658
328,900595,2026-07-25,NPA,274,17828.006
329,900854,2026-07-25,REGULAR,53,36.62803
330,905647,2026-07-25,REGULAR,5,25.7971
331,901217,2026-07-25,NPA,187,29799.58136
332,903721,2026-07-25,REGULAR,5,597.215
333,903829,2026-07-25,REGULAR,36,53.27995
334,905339,2026-07-25,REGULAR,26,907.97727
335,906122,2026-07-25,REGULAR,27,88.3482
336,907801,2026-07-25,REGULAR,31,74.79965
337,904510,2026-07-25,REGULAR,22,274.55415
338,900573,2026-07-25,REGULAR,23,664.93913
339,900844,2026-07-25,REGULAR,6,22.23155
340,907850,2026-07-25,REGULAR,25,285.16753
341,900182,2026-07-25,NPA,279,99999.99999
342,900553,2026-07-25,REGULAR,38,413.80755
343,901019,2026-07-25,NPA,102,472.3926
344,906495,2026-07-25,REGULAR,43,4.8388
345,907468,2026-07-25,REGULAR,29,451.61988
346,905277,2026-07-25,REGULAR,20,211.5602
347,907233,2026-07-25,NPA,274,99999.99999
348,906984,2026-07-25,REGULAR,12,523.39775
349,901716,2026-07-25,REGULAR,30,4.75755
350,904901,2026-07-25,NPA,103,55305.40928
351,905687,2026-07-25,REGULAR,79,18.72413
352,906504,2026-07-25,NPA,259,99999.99999
353,901589,2026-07-25,REGULAR,39,89.98343
354,900519,2026-07-25,REGULAR,12,34.2657
355,902870,2026-07-25,REGULAR,41,40.2687
356,906044,2026-07-25,REGULAR,48,30.98528
357,901803,2026-07-25,REGULAR,49,145.40348
358,902401,2026-07-25,REGULAR,16,6.25838
359,900651,2026-07-25,REGULAR,37,176.27488
360,906975,2026-07-25,REGULAR,79,671.08263
361,905196,2026-07-25,REGULAR,30,132.6427
362,901132,2026-07-25,REGULAR,43,45.79857
363,900672,2026-07-25,REGULAR,76,20.45068
364,905775,2026-07-25,REGULAR,71,508.85163
365,901513,2026-07-25,REGULAR,26,1329.17487
366,902142,2026-07-25,REGULAR,23,1124.73897
367,900992,2026-07-25,NPA,174,14196.57576
368,900168,2026-07-25,NPA,90,3100.317
369,903735,2026-07-25,NPA,184,99999.99999
370,902659,2026-07-25,NPA,187,11045.82968
371,900833,2026-07-25,NPA,361,99999.99999
372,903323,2026-07-25,REGULAR,5,5.1807
373,901063,2026-07-25,NPA,180,93096.9864
374,906075,2026-07-25,NPA,333,13228.8
375,901552,2026-07-25,NPA,137,4230.7526
376,903311,2026-07-25,NPA,257,99999.99999
377,906000,2026-07-25,REGULAR,60,524.73793
378,901429,2026-07-25,REGULAR,23,22.17155
379,907932,2026-07-25,REGULAR,38,145.09897
380,903550,2026-07-25,REGULAR,5,238.843
381,903820,2026-07-25,NPA,142,20911.62442
382,902501,2026-07-25,REGULAR,49,3.99918
383,907036,2026-07-25,REGULAR,40,6.1186
384,906515,2026-07-25,NPA,133,7945.90288
385,903328,2026-07-25,REGULAR,63,227.4936
386,900428,2026-07-25,REGULAR,29,545.17763
387,902483,2026-07-25,REGULAR,30,63.74927
388,900624,2026-07-25,REGULAR,19,363.0807
389,902217,2026-07-25,REGULAR,66,398.89615
390,907136,2026-07-25,NPA,280,99999.99999
391,903874,2026-07-25,REGULAR,9,185.9249
392,902677,2026-07-25,REGULAR,69,422.50565
393,906327,2026-07-25,REGULAR,45,26.11103
394,907339,2026-07-25,WRITE_OFF,365,99999.99999
395,905819,2026-07-25,REGULAR,13,31.57398
396,907927,2026-07-25,REGULAR,22,15.07135
397,905707,2026-07-25,REGULAR,67,236.66688
398,906298,2026-07-25,REGULAR,30,23.82208
399,902734,2026-07-25,REGULAR,35,126.68927
400,903450,2026-07-25,NPA,336,93668.06322
401,906400,2026-07-25,REGULAR,6,14.151
402,900399,2026-07-25,REGULAR,70,11.75503
403,907947,2026-07-25,REGULAR,54,15.48695
404,904694,2026-07-25,NPA,226,92659.52748
405,902764,2026-07-25,REGULAR,32,39.4392
406,903514,2026-07-25,NPA,335,16951.264
407,903498,2026-07-25,REGULAR,34,157.09895
408,900477,2026-07-25,REGULAR,41,641.22888
409,905449,2026-07-25,NPA,303,36507.43872
410,901966,2026-07-25,REGULAR,41,44.1181
411,903692,2026-07-25,REGULAR,29,33.46267
412,901378,2026-07-25,REGULAR,68,83.18185
413,906965,2026-07-25,REGULAR,36,33.78083
414,903989,2026-07-25,NPA,163,51486.02392
415,907383,2026-07-25,NPA,319,99999.99999
416,902802,2026-07-25,NPA,227,93623.64352
417,907919,2026-07-25,REGULAR,13,450.75317
418,902789,2026-07-25,NPA,309,99999.99999
419,907564,2026-07-25,NPA,314,72421.84846
420,902804,2026-07-25,REGULAR,24,136.02935
421,902647,2026-07-25,NPA,334,63916.64554
422,900254,2026-07-25,NPA,285,73570.626
423,900619,2026-07-25,REGULAR,14,158.57878
424,902156,2026-07-25,REGULAR,54,197.59588
425,901351,2026-07-25,REGULAR,42,177.3122
426,901183,2026-07-25,REGULAR,43,8.38235
427,900708,2026-07-25,NPA,313,10700.435
428,903899,2026-07-25,REGULAR,34,5.3404
429,905176,2026-07-25,REGULAR,51,173.28235
430,906082,2026-07-25,NPA,311,68450.4736
431,902915,2026-07-25,NPA,284,99999.99999
432,905002,2026-07-25,REGULAR,31,53.82187
433,904242,2026-07-25,REGULAR,43,180.19158
434,905149,2026-07-25,REGULAR,32,75.6507
435,907524,2026-07-25,NPA,363,13216.21176
436,906197,2026-07-25,NPA,355,99999.99999
437,905880,2026-07-25,REGULAR,38,310.72523
438,902356,2026-07-25,REGULAR,34,177.6366
439,900706,2026-07-25,NPA,228,59663.10624
440,906978,2026-07-25,REGULAR,7,184.7679
441,900038,2026-07-25,REGULAR,54,33.50718
442,906671,2026-07-25,NPA,95,99999.99999
443,907353,2026-07-25,REGULAR,35,58.82745
444,902220,2026-07-25,REGULAR,42,393.66633
445,902582,2026-07-25,NPA,219,4977.6
446,900216,2026-07-25,REGULAR,33,15.23053
447,903783,2026-07-25,REGULAR,38,100.38362
448,903032,2026-07-25,REGULAR,51,14.15455
449,901864,2026-07-25,REGULAR,26,10.72088
450,906976,2026-07-25,NPA,343,99999.99999
451,907628,2026-07-25,WRITE_OFF,365,16309.88
452,904019,2026-07-25,NPA,103,12324.88928
453,903318,2026-07-25,REGULAR,63,174.064
454,900970,2026-07-25,NPA,351,99999.99999
455,905158,2026-07-25,REGULAR,28,91.59247
456,906935,2026-07-25,REGULAR,43,86.01478
457,907697,2026-07-25,NPA,272,17933.62448
458,901177,2026-07-25,REGULAR,2,10.9419
459,905894,2026-07-25,REGULAR,42,4.39853
460,906733,2026-07-25,REGULAR,8,277.93365
461,904325,2026-07-25,REGULAR,33,23.18832
462,902272,2026-07-25,WRITE_OFF,365,99999.99999
463,907818,2026-07-25,REGULAR,50,149.041
464,904808,2026-07-25,REGULAR,37,305.0481
465,904146,2026-07-25,REGULAR,2,26.32457
466,901273,2026-07-25,REGULAR,33,63.39007
467,902747,2026-07-25,NPA,107,14185.95104
468,904218,2026-07-25,REGULAR,45,86.93735
469,900847,2026-07-25,REGULAR,25,52.30222
470,900419,2026-07-25,REGULAR,49,39.30193
471,904215,2026-07-25,NPA,143,19720.82688
472,900922,2026-07-25,REGULAR,81,219.37993
473,906716,2026-07-25,REGULAR,38,65.58458
474,902865,2026-07-25,NPA,228,68029.51194
475,901703,2026-07-25,REGULAR,16,118.31573
476,907032,2026-07-25,NPA,198,99999.99999
477,900983,2026-07-25,NPA,345,99999.99999
478,906832,2026-07-25,REGULAR,15,29.0101
479,901133,2026-07-25,REGULAR,24,316.90678
480,901903,2026-07-25,REGULAR,46,5.71923
481,903740,2026-07-25,REGULAR,46,10.82075
482,901419,2026-07-25,REGULAR,35,11.78193
483,906421,2026-07-25,NPA,274,99999.99999
484,906999,2026-07-25,REGULAR,42,269.13648
485,904199,2026-07-25,NPA,263,99999.99999
486,904363,2026-07-25,REGULAR,32,38.99643
487,907576,2026-07-25,REGULAR,22,575.68433
488,901932,2026-07-25,REGULAR,1,89.07965
489,900367,2026-07-25,REGULAR,54,1501.84047
490,906129,2026-07-25,NPA,344,99999.99999
491,907897,2026-07-25,NPA,334,99999.99999
492,907320,2026-07-25,NPA,211,99999.99999
493,907975,2026-07-25,REGULAR,24,116.768
494,901720,2026-07-25,REGULAR,32,39.6044
495,905078,2026-07-25,REGULAR,25,1396.49825
496,901919,2026-07-25,NPA,278,99999.99999
497,906550,2026-07-25,REGULAR,3,400.14857
498,905118,2026-07-25,NPA,107,5311.18024
499,907878,2026-07-25,NPA,104,53433.1792
500,903941,2026-07-25,REGULAR,43,245.40805
501,903716,2026-07-25,NPA,127,2601.81376
502,903687,2026-07-25,REGULAR,29,2.7483
503,900158,2026-07-25,NPA,142,25078.62904
504,906280,2026-07-25,REGULAR,47,132.9283
505,902399,2026-07-25,NPA,225,78806.2548
506,903574,2026-07-25,REGULAR,54,10.08395
507,901229,2026-07-25,NPA,294,99999.99999
508,903580,2026-07-25,NPA,252,22583.34606
509,904522,2026-07-25,REGULAR,20,204.85243
510,903775,2026-07-25,REGULAR,40,154.26615
511,903186,2026-07-25,WRITE_OFF,365,99999.99999
512,906605,2026-07-25,NPA,226,51061.18554
513,901544,2026-07-25,REGULAR,24,49.68382
514,905122,2026-07-25,REGULAR,39,25.81557
515,901286,2026-07-25,REGULAR,48,5.9424
516,900286,2026-07-25,REGULAR,14,227.40418
517,907230,2026-07-25,WRITE_OFF,365,99999.99999
518,903431,2026-07-25,REGULAR,49,280.67423
519,904451,2026-07-25,REGULAR,33,54.1856
520,903932,2026-07-25,REGULAR,23,46.74005
521,907743,2026-07-25,REGULAR,14,31.14005
522,907217,2026-07-25,REGULAR,54,14.89443
523,904197,2026-07-25,REGULAR,8,89.18903
524,900201,2026-07-25,REGULAR,1,170.25215
525,902477,2026-07-25,REGULAR,9,188.52088
526,900135,2026-07-25,NPA,184,35591.4
527,901206,2026-07-25,REGULAR,50,175.9011
528,906028,2026-07-25,NPA,259,38151.53744
529,907800,2026-07-25,REGULAR,30,537.16683
530,904047,2026-07-25,REGULAR,4,215.7844
531,902957,2026-07-25,REGULAR,17,105.0249
532,904381,2026-07-25,REGULAR,47,26.41823
533,903602,2026-07-25,REGULAR,50,5.4344
534,903907,2026-07-25,NPA,98,3576.40194
535,903160,2026-07-25,REGULAR,41,3.57765
536,903126,2026-07-25,REGULAR,26,321.02752
537,902907,2026-07-25,NPA,306,2617.10268
538,906303,2026-07-25,WRITE_OFF,365,99999.99999
539,906662,2026-07-25,REGULAR,2,168.69425
540,905849,2026-07-25,REGULAR,36,283.4948
541,905663,2026-07-25,REGULAR,20,69.68103
542,900524,2026-07-25,REGULAR,11,329.20165
543,902104,2026-07-25,REGULAR,16,456.25455
544,901099,2026-07-25,REGULAR,39,95.40493
545,900807,2026-07-25,REGULAR,34,192.6982
546,903008,2026-07-25,NPA,167,99999.99999
547,902515,2026-07-25,REGULAR,7,19.0672
548,906700,2026-07-25,REGULAR,39,29.57118
549,902595,2026-07-25,NPA,153,12826.45416
550,902020,2026-07-25,REGULAR,51,153.81088
551,902568,2026-07-25,NPA,276,16491.88008
552,902858,2026-07-25,REGULAR,43,51.88515
553,907745,2026-07-25,NPA,294,25668.0
554,906570,2026-07-25,REGULAR,31,46.37645
555,907815,2026-07-25,REGULAR,66,21.46275
556,904374,2026-07-25,REGULAR,40,49.24595
557,907842,2026-07-25,REGULAR,43,20.73085
558,903469,2026-07-25,REGULAR,36,53.08873
559,905643,2026-07-25,REGULAR,19,9.6941
560,905271,2026-07-25,REGULAR,85,35.91378
561,904489,2026-07-25,REGULAR,37,119.47135
