COLLECTION_ID,LOAN_ID,BUCKET,AGENT_ID,RECOVERY_STATUS,RECOVERY_AMOUNT,FOLLOWUP_DATE
69,900044,0-30,3018,RECOVERED,11146.05,2026-07-25
70,900047,0-30,3045,PENDING,0.0,2026-06-29
71,900047,30-60,3045,PARTIAL,10703.62,2026-07-25
72,900055,0-30,3025,PENDING,0.0,2026-06-17
73,900055,0-30,3025,PENDING,0.0,2026-06-25
74,900055,0-30,3025,PENDING,0.0,2026-07-02
75,900055,0-30,3025,PENDING,0.0,2026-07-10
76,900055,0-30,3025,PENDING,0.0,2026-07-17
77,900055,30-60,3025,PENDING,0.0,2026-07-25
78,900063,30-60,3045,PENDING,0.0,2026-07-25
79,900064,0-30,3023,RECOVERED,2915.67,2026-07-25
80,900078,0-30,3033,PENDING,0.0,2026-07-06
81,900078,30-60,3033,PENDING,0.0,2026-07-25
82,900079,30-60,3026,PARTIAL,72631.62,2026-05-16
83,900079,60-90,3026,PENDING,0.0,2026-06-20
84,900079,90+,3026,WRITE_OFF,34983.67,2026-07-25
85,900081,0-30,3051,PENDING,0.0,2025-09-06
86,900081,0-30,3051,PENDING,0.0,2025-10-01
87,900081,0-30,3051,PARTIAL,214827.94,2025-10-26
88,900081,0-30,3051,PENDING,0.0,2025-11-19
89,900081,0-30,3051,PENDING,0.0,2025-12-14
90,900081,0-30,3051,PENDING,0.0,2026-01-08
91,900081,0-30,3051,PENDING,0.0,2026-02-02
92,900081,0-30,3051,PENDING,0.0,2026-02-26
93,900081,0-30,3051,PARTIAL,703970.52,2026-03-23
94,900081,0-30,3051,PENDING,0.0,2026-04-17
95,900081,0-30,3051,PENDING,0.0,2026-05-11
96,900081,30-60,3051,PENDING,0.0,2026-06-05
97,900081,60-90,3051,PARTIAL,162253.49,2026-06-30
98,900081,90+,3051,PARTIAL,386807.29,2026-07-25
99,900084,30-60,3047,PENDING,0.0,2026-07-25
100,900092,0-30,3008,PARTIAL,15505.73,2026-06-29
101,900092,0-30,3008,PARTIAL,8392.14,2026-07-12
102,900092,30-60,3008,PENDING,0.0,2026-07-25
103,900093,0-30,3054,PENDING,0.0,2026-06-28
104,900093,0-30,3054,PENDING,0.0,2026-07-03
105,900093,0-30,3054,PENDING,0.0,2026-07-09
106,900093,0-30,3054,PARTIAL,9000.26,2026-07-14
107,900093,0-30,3054,PENDING,0.0,2026-07-19
108,900093,30-60,3054,PARTIAL,19934.61,2026-07-25
109,900094,0-30,3030,PENDING,0.0,2026-06-14
110,900094,0-30,3030,PARTIAL,10566.74,2026-06-24
111,900094,0-30,3030,PARTIAL,1258.11,2026-07-04
112,900094,0-30,3030,PENDING,0.0,2026-07-14
113,900094,30-60,3030,PENDING,0.0,2026-07-25
114,900095,60-90,3030,PARTIAL,1337.05,2026-05-23
115,900095,90+,3030,WRITE_OFF,846.22,2026-07-25
116,900099,0-30,3037,PENDING,0.0,2026-06-25
117,900099,0-30,3037,PENDING,0.0,2026-07-10
118,900099,30-60,3037,PARTIAL,9451.66,2026-07-25
119,900100,60-90,3020,WRITE_OFF,3250.68,2026-07-25
120,900103,0-30,3012,PENDING,0.0,2026-06-25
121,900103,0-30,3012,PARTIAL,108349.6,2026-07-10
122,900103,30-60,3012,PARTIAL,117056.17,2026-07-25
123,900106,0-30,3035,PENDING,0.0,2026-07-09
124,900106,30-60,3035,PENDING,0.0,2026-07-25
125,900108,0-30,3078,PARTIAL,2597.94,2026-06-27
126,900108,0-30,3078,PARTIAL,1365.92,2026-07-11
127,900108,30-60,3078,PENDING,0.0,2026-07-25
128,900109,0-30,3023,PENDING,0.0,2026-01-17
129,900109,0-30,3023,PENDING,0.0,2026-02-17
130,900109,0-30,3023,PENDING,0.0,2026-03-21
131,900109,0-30,3023,PENDING,0.0,2026-04-21
132,900109,30-60,3023,PENDING,0.0,2026-05-23
133,900109,60-90,3023,PARTIAL,171699.83,2026-06-23
134,900109,90+,3023,PENDING,0.0,2026-07-25
135,900112,0-30,3036,PENDING,0.0,2025-12-15
136,900112,0-30,3036,PENDING,0.0,2026-01-06
137,900112,0-30,3036,PARTIAL,172840.02,2026-01-28
138,900112,0-30,3036,PENDING,0.0,2026-02-19
139,900112,0-30,3036,PARTIAL,149495.18,2026-03-13
140,900112,0-30,3036,PENDING,0.0,2026-04-05
141,900112,0-30,3036,PENDING,0.0,2026-04-27
142,900112,0-30,3036,PARTIAL,115781.87,2026-05-19
143,900112,30-60,3036,PARTIAL,73835.32,2026-06-10
144,900112,60-90,3036,PARTIAL,31073.89,2026-07-02
145,900112,90+,3036,PENDING,0.0,2026-07-25
146,900115,0-30,3058,PARTIAL,169.3,2026-06-28
147,900115,30-60,3058,PENDING,0.0,2026-07-25
148,900120,30-60,3035,PARTIAL,31985.53,2026-07-25
149,900131,0-30,3060,PARTIAL,1070.58,2026-06-03
150,900131,0-30,3060,PENDING,0.0,2026-06-20
151,900131,30-60,3060,PENDING,0.0,2026-07-07
152,900131,60-90,3060,PARTIAL,777.26,2026-07-25
153,900133,0-30,3044,PENDING,0.0,2025-09-27
154,900133,0-30,3044,PARTIAL,75230.17,2025-10-17
155,900133,0-30,3044,PENDING,0.0,2025-11-06
156,900133,0-30,3044,PARTIAL,26255.43,2025-11-26
157,900133,0-30,3044,PENDING,0.0,2025-12-16
158,900133,0-30,3044,PARTIAL,66110.57,2026-01-05
159,900133,0-30,3044,PARTIAL,133807.5,2026-01-25
160,900133,0-30,3044,PENDING,0.0,2026-02-14
161,900133,0-30,3044,PARTIAL,162395.84,2026-03-06
162,900133,0-30,3044,PENDING,0.0,2026-03-26
163,900133,0-30,3044,PENDING,0.0,2026-04-15
164,900133,0-30,3044,PENDING,0.0,2026-05-05
165,900133,0-30,3044,PARTIAL,156974.14,2026-05-25
166,900133,30-60,3044,PENDING,0.0,2026-06-14
167,900133,60-90,3044,PARTIAL,141851.6,2026-07-04
168,900133,90+,3044,PENDING,0.0,2026-07-25
169,900135,0-30,3030,PENDING,0.0,2026-02-09
170,900135,0-30,3030,PENDING,0.0,2026-02-27
171,900135,0-30,3030,PARTIAL,27009.21,2026-03-18
172,900135,0-30,3030,PARTIAL,23085.98,2026-04-05
173,900135,0-30,3030,PARTIAL,42711.51,2026-04-24
174,900135,0-30,3030,PARTIAL,5955.02,2026-05-12
175,900135,0-30,3030,PARTIAL,38974.72,2026-05-30
176,900135,30-60,3030,PENDING,0.0,2026-06-18
177,900135,60-90,3030,PENDING,0.0,2026-07-06
178,900135,90+,3030,PENDING,0.0,2026-07-25
179,900145,0-30,3060,PENDING,0.0,2025-12-05
180,900145,0-30,3060,PENDING,0.0,2026-01-13
181,900145,0-30,3060,PARTIAL,82221.07,2026-02-20
182,900145,0-30,3060,PENDING,0.0,2026-03-31
183,900145,30-60,3060,PENDING,0.0,2026-05-08
184,900145,60-90,3060,PARTIAL,268832.8,2026-06-16
185,900145,90+,3060,WRITE_OFF,23128.79,2026-07-25
186,900152,0-30,3070,PARTIAL,77101.24,2025-12-25
187,900152,0-30,3070,PENDING,0.0,2026-01-12
188,900152,0-30,3070,PENDING,0.0,2026-01-29
189,900152,0-30,3070,PENDING,0.0,2026-02-16
190,900152,0-30,3070,PENDING,0.0,2026-03-06
191,900152,0-30,3070,PENDING,0.0,2026-03-23
192,900152,0-30,3070,PARTIAL,429985.6,2026-04-10
193,900152,0-30,3070,PENDING,0.0,2026-04-27
194,900152,0-30,3070,PENDING,0.0,2026-05-15
195,900152,0-30,3070,PENDING,0.0,2026-06-02
196,900152,30-60,3070,PENDING,0.0,2026-06-19
197,900152,60-90,3070,PENDING,0.0,2026-07-07
198,900152,90+,3070,PENDING,0.0,2026-07-25
199,900153,0-30,3064,PARTIAL,10477.24,2026-06-25
200,900153,0-30,3064,PENDING,0.0,2026-07-10
201,900153,30-60,3064,RECOVERED,23967.84,2026-07-25
202,900154,0-30,3009,PENDING,0.0,2026-07-01
203,900154,30-60,3009,PENDING,0.0,2026-07-25
204,900155,0-30,3069,PARTIAL,10667.01,2026-02-04
205,900155,0-30,3069,PENDING,0.0,2026-02-23
206,900155,0-30,3069,PARTIAL,8455.13,2026-03-14
207,900155,0-30,3069,PENDING,0.0,2026-04-02
208,900155,0-30,3069,PENDING,0.0,2026-04-21
209,900155,0-30,3069,PENDING,0.0,2026-05-10
210,900155,0-30,3069,PENDING,0.0,2026-05-29
211,900155,30-60,3069,PARTIAL,5496.63,2026-06-17
212,900155,60-90,3069,PENDING,0.0,2026-07-06
213,900155,90+,3069,WRITE_OFF,4439.12,2026-07-25
214,900156,0-30,3070,PENDING,0.0,2026-06-28
215,900156,30-60,3070,PENDING,0.0,2026-07-25
216,900158,0-30,3049,PENDING,0.0,2026-03-28
217,900158,0-30,3049,PARTIAL,6775.18,2026-04-21
218,900158,0-30,3049,PENDING,0.0,2026-05-15
219,900158,30-60,3049,PARTIAL,20409.79,2026-06-07
220,900158,60-90,3049,PENDING,0.0,2026-07-01
221,900158,90+,3049,PENDING,0.0,2026-07-25
222,900165,0-30,3011,PENDING,0.0,2026-07-05
223,900165,30-60,3011,PARTIAL,16252.72,2026-07-25
224,900166,0-30,3032,PARTIAL,101464.36,2025-09-08
225,900166,0-30,3032,PENDING,0.0,2025-10-24
226,900166,0-30,3032,PENDING,0.0,2025-12-08
227,900166,0-30,3032,PENDING,0.0,2026-01-23
228,900166,0-30,3032,PARTIAL,298482.36,2026-03-10
229,900166,30-60,3032,PARTIAL,50472.47,2026-04-24
230,900166,60-90,3032,PARTIAL,104534.35,2026-06-09
231,900166,90+,3032,PARTIAL,122575.26,2026-07-25
232,900167,0-30,3069,PENDING,0.0,2026-07-08
233,900167,0-30,3069,PENDING,0.0,2026-07-16
234,900167,0-30,3069,PENDING,0.0,2026-07-25
235,900168,0-30,3062,PENDING,0.0,2026-05-18
236,900168,0-30,3062,PENDING,0.0,2026-06-10
237,900168,30-60,3062,PARTIAL,2665.77,2026-07-02
238,900168,60-90,3062,PENDING,0.0,2026-07-25
239,900169,0-30,3069,PENDING,0.0,2026-06-20
240,900169,0-30,3069,PARTIAL,9336.38,2026-07-02
241,900169,0-30,3069,PARTIAL,5124.71,2026-07-13
242,900169,30-60,3069,PENDING,0.0,2026-07-25
243,900171,0-30,3068,PENDING,0.0,2025-10-10
244,900171,0-30,3068,PARTIAL,17301.29,2025-11-01
245,900171,0-30,3068,PENDING,0.0,2025-11-23
246,900171,0-30,3068,PENDING,0.0,2025-12-15
247,900171,0-30,3068,PENDING,0.0,2026-01-06
248,900171,0-30,3068,PENDING,0.0,2026-01-28
249,900171,0-30,3068,PENDING,0.0,2026-02-20
250,900171,0-30,3068,PENDING,0.0,2026-03-14
251,900171,0-30,3068,PENDING,0.0,2026-04-05
252,900171,0-30,3068,PARTIAL,36544.72,2026-04-27
253,900171,0-30,3068,PARTIAL,6545.96,2026-05-19
254,900171,30-60,3068,PENDING,0.0,2026-06-10
255,900171,60-90,3068,PENDING,0.0,2026-07-02
256,900171,90+,3068,PARTIAL,30867.21,2026-07-25
257,900172,30-60,3023,PARTIAL,11216.75,2026-07-25
258,900178,0-30,3033,PENDING,0.0,2026-06-15
259,900178,0-30,3033,PARTIAL,10839.58,2026-07-05
260,900178,30-60,3033,PARTIAL,13316.52,2026-07-25
261,900179,30-60,3033,PARTIAL,1834.53,2026-07-25
262,900180,0-30,3033,PENDING,0.0,2025-12-06
263,900180,0-30,3033,PENDING,0.0,2025-12-29
264,900180,0-30,3033,PARTIAL,36881.14,2026-01-21
265,900180,0-30,3033,PENDING,0.0,2026-02-13
266,900180,0-30,3033,PENDING,0.0,2026-03-08
267,900180,0-30,3033,PENDING,0.0,2026-03-31
268,900180,0-30,3033,PARTIAL,27685.56,2026-04-23
269,900180,0-30,3033,PENDING,0.0,2026-05-16
270,900180,30-60,3033,PENDING,0.0,2026-06-08
271,900180,60-90,3033,PENDING,0.0,2026-07-01
272,900180,90+,3033,PENDING,0.0,2026-07-25
273,900182,0-30,3063,PENDING,0.0,2025-11-09
274,900182,0-30,3063,PENDING,0.0,2025-11-30
275,900182,0-30,3063,PENDING,0.0,2025-12-22
276,900182,0-30,3063,PENDING,0.0,2026-01-12
277,900182,0-30,3063,PENDING,0.0,2026-02-03
278,900182,0-30,3063,PARTIAL,199388.08,2026-02-24
279,900182,0-30,3063,PARTIAL,236293.66,2026-03-18
280,900182,0-30,3063,PENDING,0.0,2026-04-08
281,900182,0-30,3063,PENDING,0.0,2026-04-30
282,900182,0-30,3063,PENDING,0.0,2026-05-21
283,900182,30-60,3063,PENDING,0.0,2026-06-12
284,900182,60-90,3063,PENDING,0.0,2026-07-03
285,900182,90+,3063,WRITE_OFF,25413.45,2026-07-25
286,900186,0-30,3064,PENDING,0.0,2026-01-17
287,900186,0-30,3064,PENDING,0.0,2026-02-07
288,900186,0-30,3064,PARTIAL,49506.76,2026-02-28
289,900186,0-30,3064,PENDING,0.0,2026-03-21
290,900186,0-30,3064,PENDING,0.0,2026-04-11
291,900186,0-30,3064,PENDING,0.0,2026-05-02
292,900186,0-30,3064,PARTIAL,5709.44,2026-05-23
293,900186,30-60,3064,PENDING,0.0,2026-06-13
294,900186,60-90,3064,PARTIAL,22308.81,2026-07-04
295,900186,90+,3064,PARTIAL,48520.13,2026-07-25
296,900188,0-30,3065,PARTIAL,16524.43,2026-06-23
297,900188,0-30,3065,PENDING,0.0,2026-07-09
298,900188,30-60,3065,PARTIAL,6276.16,2026-07-25
299,900196,30-60,3029,PARTIAL,5300.19,2026-07-25
300,900198,0-30,3059,PENDING,0.0,2025-09-12
301,900198,0-30,3059,PENDING,0.0,2025-10-11
302,900198,0-30,3059,PENDING,0.0,2025-11-09
303,900198,0-30,3059,PENDING,0.0,2025-12-07
304,900198,0-30,3059,PARTIAL,541989.76,2026-01-05
305,900198,0-30,3059,PENDING,0.0,2026-02-03
306,900198,0-30,3059,PENDING,0.0,2026-03-03
307,900198,0-30,3059,PENDING,0.0,2026-04-01
308,900198,0-30,3059,PENDING,0.0,2026-04-30
309,900198,30-60,3059,PENDING,0.0,2026-05-28
310,900198,60-90,3059,PENDING,0.0,2026-06-26
311,900198,90+,3059,PENDING,0.0,2026-07-25
312,900207,0-30,3002,PARTIAL,116395.92,2026-07-25
313,900216,30-60,3016,PENDING,0.0,2026-07-25
314,900219,30-60,3058,RECOVERED,5500.32,2026-07-25
315,900231,0-30,3020,PARTIAL,92909.33,2026-06-21
316,900231,0-30,3020,PENDING,0.0,2026-07-08
317,900231,30-60,3020,PENDING,0.0,2026-07-25
318,900238,0-30,3029,PENDING,0.0,2026-06-28
319,900238,0-30,3029,PENDING,0.0,2026-07-11
320,900238,30-60,3029,PENDING,0.0,2026-07-25
321,900239,0-30,3075,PENDING,0.0,2026-06-21
322,900239,0-30,3075,PENDING,0.0,2026-07-08
323,900239,30-60,3075,PENDING,0.0,2026-07-25
324,900240,0-30,3056,PENDING,0.0,2026-07-03
325,900240,0-30,3056,PARTIAL,23372.65,2026-07-14
326,900240,30-60,3056,PENDING,0.0,2026-07-25
327,900242,30-60,3054,PENDING,0.0,2026-07-25
328,900243,0-30,3022,PENDING,0.0,2025-11-09
329,900243,0-30,3022,PENDING,0.0,2025-12-02
330,900243,0-30,3022,PENDING,0.0,2025-12-26
331,900243,0-30,3022,PENDING,0.0,2026-01-18
332,900243,0-30,3022,PENDING,0.0,2026-02-11
333,900243,0-30,3022,PENDING,0.0,2026-03-06
334,900243,0-30,3022,PENDING,0.0,2026-03-29
335,900243,0-30,3022,PARTIAL,189734.89,2026-04-22
336,900243,0-30,3022,PENDING,0.0,2026-05-15
337,900243,30-60,3022,PENDING,0.0,2026-06-08
338,900243,60-90,3022,PARTIAL,35090.3,2026-07-01
339,900243,90+,3022,WRITE_OFF,67660.81,2026-07-25
340,900245,0-30,3035,PENDING,0.0,2026-06-21
341,900245,0-30,3035,PENDING,0.0,2026-07-02
342,900245,0-30,3035,PENDING,0.0,2026-07-13
343,900245,30-60,3035,PARTIAL,27999.69,2026-07-25
344,900247,30-60,3003,PENDING,0.0,2026-07-25
345,900251,0-30,3033,PENDING,0.0,2026-07-04
346,900251,30-60,3033,PARTIAL,54524.28,2026-07-25
347,900254,0-30,3033,PENDING,0.0,2025-11-01
348,900254,0-30,3033,PARTIAL,20812.66,2025-11-20
349,900254,0-30,3033,PENDING,0.0,2025-12-09
350,900254,0-30,3033,PARTIAL,75302.31,2025-12-28
351,900254,0-30,3033,PARTIAL,76473.6,2026-01-16
352,900254,0-30,3033,PENDING,0.0,2026-02-04
353,900254,0-30,3033,PENDING,0.0,2026-02-23
354,900254,0-30,3033,PENDING,0.0,2026-03-14
355,900254,0-30,3033,PARTIAL,55457.52,2026-04-02
356,900254,0-30,3033,PENDING,0.0,2026-04-21
357,900254,0-30,3033,PARTIAL,22991.41,2026-05-10
358,900254,0-30,3033,PENDING,0.0,2026-05-29
359,900254,30-60,3033,PENDING,0.0,2026-06-17
360,900254,60-90,3033,PARTIAL,30023.55,2026-07-06
361,900254,90+,3033,PARTIAL,54201.12,2026-07-25
362,900263,0-30,3066,PENDING,0.0,2026-02-16
363,900263,0-30,3066,PARTIAL,4029.41,2026-03-04
364,900263,0-30,3066,PARTIAL,12397.68,2026-03-20
365,900263,0-30,3066,PENDING,0.0,2026-04-05
366,900263,0-30,3066,PENDING,0.0,2026-04-21
367,900263,0-30,3066,PENDING,0.0,2026-05-06
368,900263,0-30,3066,PENDING,0.0,2026-05-22
369,900263,0-30,3066,PARTIAL,28366.07,2026-06-07
370,900263,30-60,3066,PENDING,0.0,2026-06-23
371,900263,60-90,3066,PENDING,0.0,2026-07-09
372,900263,90+,3066,PARTIAL,12833.98,2026-07-25
373,900268,30-60,3017,PARTIAL,21080.24,2026-04-20
374,900268,60-90,3017,PENDING,0.0,2026-06-07
375,900268,90+,3017,PENDING,0.0,2026-07-25
376,900271,0-30,3029,PARTIAL,3763.07,2026-07-04
377,900271,0-30,3029,PARTIAL,6653.38,2026-07-14
378,900271,30-60,3029,RECOVERED,11261.86,2026-07-25
379,900273,90+,3072,PARTIAL,40530.2,2026-07-25
380,900277,30-60,3032,PENDING,0.0,2026-05-05
381,900277,60-90,3032,PENDING,0.0,2026-06-14
382,900277,90+,3032,PARTIAL,49495.91,2026-07-25
383,900279,0-30,3006,PENDING,0.0,2026-07-08
384,900279,30-60,3006,RECOVERED,3705.01,2026-07-25
385,900292,0-30,3017,PARTIAL,315094.56,2026-01-16
386,900292,0-30,3017,PENDING,0.0,2026-01-30
387,900292,0-30,3017,PENDING,0.0,2026-02-12
388,900292,0-30,3017,PARTIAL,33889.75,2026-02-26
389,900292,0-30,3017,PARTIAL,168654.21,2026-03-11
390,900292,0-30,3017,PENDING,0.0,2026-03-25
391,900292,0-30,3017,PENDING,0.0,2026-04-07
392,900292,0-30,3017,PENDING,0.0,2026-04-21
393,900292,0-30,3017,PENDING,0.0,2026-05-04
394,900292,0-30,3017,PENDING,0.0,2026-05-18
395,900292,0-30,3017,PENDING,0.0,2026-05-31
396,900292,0-30,3017,PENDING,0.0,2026-06-14
397,900292,30-60,3017,PENDING,0.0,2026-06-27
398,900292,60-90,3017,PENDING,0.0,2026-07-11
399,900292,90+,3017,PENDING,0.0,2026-07-25
400,900305,0-30,3036,PENDING,0.0,2025-10-22
401,900305,0-30,3036,PENDING,0.0,2025-11-22
402,900305,0-30,3036,PENDING,0.0,2025-12-22
403,900305,0-30,3036,PENDING,0.0,2026-01-22
404,900305,0-30,3036,PENDING,0.0,2026-02-22
405,900305,0-30,3036,PENDING,0.0,2026-03-24
406,900305,0-30,3036,PENDING,0.0,2026-04-24
407,900305,30-60,3036,PARTIAL,436692.77,2026-05-24
408,900305,60-90,3036,PENDING,0.0,2026-06-24
409,900305,90+,3036,PENDING,0.0,2026-07-25
410,900308,0-30,3074,PENDING,0.0,2026-06-03
411,900308,30-60,3074,PENDING,0.0,2026-06-29
412,900308,60-90,3074,WRITE_OFF,28743.53,2026-07-25
413,900311,60-90,3073,PARTIAL,7660.63,2026-06-01
414,900311,90+,3073,WRITE_OFF,23520.35,2026-07-25
415,900315,30-60,3028,PARTIAL,2927.03,2026-07-25
416,900320,0-30,3038,PARTIAL,131411.42,2026-05-06
417,900320,0-30,3038,PENDING,0.0,2026-05-22
418,900320,0-30,3038,PARTIAL,154455.61,2026-06-07
419,900320,30-60,3038,PENDING,0.0,2026-06-23
420,900320,60-90,3038,PENDING,0.0,2026-07-09
421,900320,90+,3038,PENDING,0.0,2026-07-25
422,900323,0-30,3068,PENDING,0.0,2026-06-23
423,900323,0-30,3068,PARTIAL,659.49,2026-07-09
424,900323,30-60,3068,PENDING,0.0,2026-07-25
425,900330,0-30,3018,PENDING,0.0,2025-11-30
426,900330,0-30,3018,PENDING,0.0,2025-12-20
427,900330,0-30,3018,PARTIAL,14663.58,2026-01-09
428,900330,0-30,3018,PENDING,0.0,2026-01-28
429,900330,0-30,3018,PARTIAL,11701.5,2026-02-17
430,900330,0-30,3018,PARTIAL,18061.08,2026-03-09
431,900330,0-30,3018,PENDING,0.0,2026-03-28
432,900330,0-30,3018,PENDING,0.0,2026-04-17
433,900330,0-30,3018,PENDING,0.0,2026-05-07
434,900330,0-30,3018,PENDING,0.0,2026-05-26
435,900330,30-60,3018,PENDING,0.0,2026-06-15
436,900330,60-90,3018,PENDING,0.0,2026-07-05
437,900330,90+,3018,WRITE_OFF,2923.64,2026-07-25
438,900335,60-90,3013,PENDING,0.0,2026-07-25
439,900338,0-30,3008,PENDING,0.0,2025-12-08
440,900338,0-30,3008,PENDING,0.0,2025-12-29
441,900338,0-30,3008,PARTIAL,64152.75,2026-01-19
442,900338,0-30,3008,PARTIAL,81114.22,2026-02-09
443,900338,0-30,3008,PENDING,0.0,2026-03-01
444,900338,0-30,3008,PARTIAL,150046.04,2026-03-22
445,900338,0-30,3008,PENDING,0.0,2026-04-12
446,900338,0-30,3008,PARTIAL,107607.94,2026-05-03
447,900338,0-30,3008,PENDING,0.0,2026-05-23
448,900338,30-60,3008,PARTIAL,81053.44,2026-06-13
449,900338,60-90,3008,PENDING,0.0,2026-07-04
450,900338,90+,3008,PENDING,0.0,2026-07-25
451,900342,0-30,3019,PENDING,0.0,2026-07-25
452,900348,0-30,3075,PARTIAL,13473.33,2025-10-09
453,900348,0-30,3075,PENDING,0.0,2025-11-02
454,900348,0-30,3075,PENDING,0.0,2025-11-26
455,900348,0-30,3075,PARTIAL,31756.66,2025-12-20
456,900348,0-30,3075,PENDING,0.0,2026-01-13
457,900348,0-30,3075,PARTIAL,76761.7,2026-02-06
458,900348,0-30,3075,PENDING,0.0,2026-03-02
459,900348,0-30,3075,PARTIAL,23494.16,2026-03-26
460,900348,0-30,3075,PENDING,0.0,2026-04-19
461,900348,0-30,3075,PARTIAL,34214.1,2026-05-13
462,900348,30-60,3075,PENDING,0.0,2026-06-06
463,900348,60-90,3075,PENDING,0.0,2026-06-30
464,900348,90+,3075,PARTIAL,113945.08,2026-07-25
465,900354,60-90,3004,PARTIAL,6951.89,2026-05-29
466,900354,90+,3004,PENDING,0.0,2026-07-25
467,900355,0-30,3079,RECOVERED,61038.2,2026-07-25
468,900356,0-30,3031,PARTIAL,21664.6,2026-06-25
469,900356,0-30,3031,PENDING,0.0,2026-07-10
470,900356,30-60,3031,PENDING,0.0,2026-07-25
471,900367,0-30,3072,PARTIAL,112108.96,2026-06-28
472,900367,30-60,3072,PENDING,0.0,2026-07-25
473,900370,0-30,3020,PARTIAL,28807.62,2026-06-27
474,900370,0-30,3020,PENDING,0.0,2026-07-11
475,900370,30-60,3020,PARTIAL,19767.48,2026-07-25
476,900371,0-30,3043,PENDING,0.0,2026-07-01
